tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.05,10,5,0.01,0.0,0.01,0.0009482181631028652,14,1.035
0.05,10,5,0.01,0.0,0.001,0.0009448407799936831,10,0.862
0.05,10,5,0.01,0.0,0.0001,0.0009476007544435561,14,1.051
0.05,10,5,0.01,0.2,0.01,0.000948449014686048,2,0.578
0.05,10,5,0.01,0.2,0.001,0.0009707655990496278,2,0.575
0.05,10,5,0.01,0.2,0.0001,0.0009932586690410972,2,0.581
0.05,10,5,0.001,0.0,0.01,0.001064490876160562,1,0.477
0.05,10,5,0.001,0.0,0.001,0.0010742680169641972,1,0.466
0.05,10,5,0.001,0.0,0.0001,0.0010753624374046922,1,0.475
0.05,10,5,0.001,0.2,0.01,0.001037611742503941,10,0.96
0.05,10,5,0.001,0.2,0.001,0.001017051632516086,10,0.965
0.05,10,5,0.001,0.2,0.0001,0.0010411114199087024,10,0.958
0.05,10,5,0.0001,0.0,0.01,0.001144589390605688,17,1.16
0.05,10,5,0.0001,0.0,0.001,0.0011486484436318278,17,1.164
0.05,10,5,0.0001,0.0,0.0001,0.0011482893023639917,17,1.162
0.05,10,5,0.0001,0.2,0.01,0.0011379398638382554,11,1.014
0.05,10,5,0.0001,0.2,0.001,0.0011500634718686342,14,1.16
0.05,10,5,0.0001,0.2,0.0001,0.0011490045581012964,24,1.642
0.05,10,10,0.01,0.0,0.01,0.000980717595666647,10,0.884
0.05,10,10,0.01,0.0,0.001,0.0009498897707089782,3,0.57
0.05,10,10,0.01,0.0,0.0001,0.0009460356086492538,14,1.056
0.05,10,10,0.01,0.2,0.01,0.000967613304965198,20,1.485
0.05,10,10,0.01,0.2,0.001,0.000947488471865654,18,1.388
0.05,10,10,0.01,0.2,0.0001,0.0009465598268434405,20,1.481
0.05,10,10,0.001,0.0,0.01,0.001045943470671773,11,0.924
0.05,10,10,0.001,0.0,0.001,0.0010416096774861217,15,1.098
0.05,10,10,0.001,0.0,0.0001,0.0009708810830488801,26,1.584
0.05,10,10,0.001,0.2,0.01,0.001047649304382503,37,2.336
0.05,10,10,0.001,0.2,0.001,0.0010375669226050377,26,1.784
0.05,10,10,0.001,0.2,0.0001,0.0010159991215914488,26,1.772
0.05,10,10,0.0001,0.0,0.01,0.0009506240603514016,3,0.571
0.05,10,10,0.0001,0.0,0.001,0.0009452447411604226,3,0.575
0.05,10,10,0.0001,0.0,0.0001,0.0009449655190110207,3,0.584
0.05,10,10,0.0001,0.2,0.01,0.001101223286241293,3,0.641
0.05,10,10,0.0001,0.2,0.001,0.0010082842782139778,3,0.646
0.05,10,10,0.0001,0.2,0.0001,0.0010006055235862732,3,0.642
0.1,1,1,0.01,0.0,0.01,0.0015211603604257107,30,0.657
0.1,1,1,0.01,0.0,0.001,0.0015245804097503424,9,0.311
0.1,1,1,0.01,0.0,0.0001,0.001534191076643765,7,0.288
0.1,1,1,0.01,0.2,0.01,0.0015215418534353375,12,0.376
0.1,1,1,0.01,0.2,0.001,0.0015352271730080247,4,0.236
0.1,1,1,0.01,0.2,0.0001,0.0015212036669254303,12,0.378
0.1,1,1,0.001,0.0,0.01,0.0016458474565297365,5,0.246
0.1,1,1,0.001,0.0,0.001,0.0016404082998633385,5,0.245
0.1,1,1,0.001,0.0,0.0001,0.0016420353204011917,5,0.247
0.1,1,1,0.001,0.2,0.01,0.0016502003418281674,7,0.29
0.1,1,1,0.001,0.2,0.001,0.001658962108194828,6,0.271
0.1,1,1,0.001,0.2,0.0001,0.0016568570863455534,6,0.275
0.1,1,1,0.0001,0.0,0.01,0.0017033799085766077,51,0.999
0.1,1,1,0.0001,0.0,0.001,0.00172131834551692,31,0.678
0.1,1,1,0.0001,0.0,0.0001,0.0017213894752785563,31,0.665
0.1,1,1,0.0001,0.2,0.01,0.0017150319181382656,42,0.894
0.1,1,1,0.0001,0.2,0.001,0.0017152178334072232,44,0.92
0.1,1,1,0.0001,0.2,0.0001,0.0017144196899607778,44,0.926
0.1,1,5,0.01,0.0,0.01,0.0015218586195260286,15,0.407
0.1,1,5,0.01,0.0,0.001,0.00152070343028754,16,0.436
0.1,1,5,0.01,0.0,0.0001,0.0015088210348039865,16,0.428
0.1,1,5,0.01,0.2,0.01,0.001530233072116971,8,0.308
0.1,1,5,0.01,0.2,0.001,0.0015237013576552272,2,0.204
0.1,1,5,0.01,0.2,0.0001,0.0015546870417892933,4,0.24
0.1,1,5,0.001,0.0,0.01,0.0015746824210509658,2,0.201
0.1,1,5,0.001,0.0,0.001,0.0016012254636734724,2,0.197
0.1,1,5,0.001,0.0,0.0001,0.00160194281488657,2,0.198
0.1,1,5,0.001,0.2,0.01,0.0016208795132115483,17,0.462
0.1,1,5,0.001,0.2,0.001,0.0015472605591639876,17,0.466
0.1,1,5,0.001,0.2,0.0001,0.0015375848161056638,17,0.463
0.1,1,5,0.0001,0.0,0.01,0.0017092247726395726,9,0.308
0.1,1,5,0.0001,0.0,0.001,0.001674406579695642,27,0.617
0.1,1,5,0.0001,0.0,0.0001,0.001676551764830947,27,0.607
0.1,1,5,0.0001,0.2,0.01,0.0016996962949633598,108,2.022
0.1,1,5,0.0001,0.2,0.001,0.0017073183553293347,102,1.915
0.1,1,5,0.0001,0.2,0.0001,0.0016780432779341936,111,2.076
0.1,1,10,0.01,0.0,0.01,0.001525145024061203,11,0.351
0.1,1,10,0.01,0.0,0.001,0.001614388427697122,3,0.215
0.1,1,10,0.01,0.0,0.0001,0.0015235509490594268,21,0.517
0.1,1,10,0.01,0.2,0.01,0.0016414890997111797,3,0.221
0.1,1,10,0.01,0.2,0.001,0.0016836333088576794,4,0.24
0.1,1,10,0.01,0.2,0.0001,0.0016437370795756578,3,0.228
0.1,1,10,0.001,0.0,0.01,0.0016320551512762904,1,0.182
0.1,1,10,0.001,0.0,0.001,0.0016437359154224396,1,0.183
0.1,1,10,0.001,0.0,0.0001,0.0016447013476863503,1,0.184
0.1,1,10,0.001,0.2,0.01,0.0016171946190297604,1,0.191
0.1,1,10,0.001,0.2,0.001,0.0016241013072431087,1,0.188
0.1,1,10,0.001,0.2,0.0001,0.0016255805967375636,1,0.19
0.1,1,10,0.0001,0.0,0.01,0.0015222997171804309,11,0.348
0.1,1,10,0.0001,0.0,0.001,0.0015234018210321665,11,0.345
0.1,1,10,0.0001,0.0,0.0001,0.00152339949272573,11,0.351
0.1,1,10,0.0001,0.2,0.01,0.0015236273175105453,11,0.362
0.1,1,10,0.0001,0.2,0.001,0.0015258083585649729,11,0.359
